"receptor","nn_best_ligand_rank","nn_best_aupr","nn_ligands","cc_total_prob","cc_pathways","gf_regen_gain","gf_regen_loss","receptor_upper","nn_human_best_rank","nn_human_best_aupr","nn_human_ligands","species_support","score_nn","score_nn_h","score_cc","score_gf","score_del","composite_score","notes"
"Itgb1",1,0.104014650830082,"Angpt2;Angptl2;Angptl4;Col15a1;Col3a1;Col6a3;Npnt;Tgfb1;Tgm2",NA,NA,NA,NA,"ITGB1",2,0.0634704430887608,"ADAM17;ANGPTL4;TGFB1","conserved",1,1,NA,NA,NA,1,NA
"Cd74",NA,NA,NA,4.13840950831864,"APP",NA,NA,"CD74",NA,NA,NA,"mouse_only",NA,NA,1,NA,NA,1,NA
"App",1,0.104014650830082,"Tgfb1",NA,NA,NA,NA,"APP",5,0.0614518007347475,"TGFB1","conserved",1,0.807692307692308,NA,NA,NA,0.903846153846154,NA
"Ramp1",2,0.0792246445477287,"Adm",NA,NA,NA,NA,"RAMP1",NA,NA,NA,"mouse_only",0.888888888888889,NA,NA,NA,NA,0.888888888888889,NA
"Bmpr2",NA,NA,NA,NA,NA,0.000675747229252011,-8.1760976172518e-05,"BMPR2",NA,NA,NA,"mouse_only",NA,NA,NA,0.944444444444444,0.722222222222222,0.833333333333333,NA
"Erbb2",NA,NA,NA,NA,NA,-0.000353001873008907,-0.000259440654190257,"ERBB2",6,0.0587471244643846,"AREG;HBEGF","conserved",NA,0.615384615384615,NA,0.888888888888889,0.944444444444444,0.816239316239316,NA
"Sdc1",5,0.054414365852295,"Angptl4;Lpl",NA,NA,NA,NA,"SDC1",2,0.0634704430887608,"ANGPTL4;LPL","conserved",0.62962962962963,1,NA,NA,NA,0.814814814814815,NA
"Egfr",NA,NA,NA,NA,NA,-0.000852094439323992,-0.000216407017433085,"EGFR",6,0.0587471244643846,"ANG;AREG;CDCP1;HBEGF;ICAM1","conserved",NA,0.615384615384615,NA,0.833333333333333,0.888888888888889,0.779202279202279,NA
"Nrp1",3,0.067148863344964,"Fgf1;Fgf7;Sema3c;Vegfa",NA,NA,NA,NA,"NRP1",NA,NA,NA,"mouse_only",0.777777777777778,NA,NA,NA,NA,0.777777777777778,NA
"Sdc4",5,0.054414365852295,"Angptl4;Rspo3;Tgm2",1.43632753567374,"COLLAGEN;FN1;TENASCIN;THBS",NA,NA,"SDC4",2,0.0634704430887608,"ANGPTL4","conserved",0.62962962962963,1,0.666666666666667,NA,NA,0.765432098765432,NA
