"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Fibroblasts","Activated AT2 cells","Col1a1","Sdc4",0.0257259303315674,0,"COL1A1_SDC4","Col1a1  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"Myofibroblasts","Activated AT2 cells","Col1a1","Sdc4",0.0302575708267478,0,"COL1A1_SDC4","Col1a1  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"Fibroblasts","AT2 cells","Col1a1","Sdc4",0.0356650999773113,0,"COL1A1_SDC4","Col1a1  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"Myofibroblasts","AT2 cells","Col1a1","Sdc4",0.0418722867011307,0,"COL1A1_SDC4","Col1a1  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"Activated mesothelial cells","Activated AT2 cells","Col1a2","Sdc4",0.0306111874791322,0,"COL1A2_SDC4","Col1a2  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"Fibroblasts","Activated AT2 cells","Col1a2","Sdc4",0.0469013273217094,0,"COL1A2_SDC4","Col1a2  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"Mesothelial cells","Activated AT2 cells","Col1a2","Sdc4",0.0100176494025822,0,"COL1A2_SDC4","Col1a2  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"Myofibroblasts","Activated AT2 cells","Col1a2","Sdc4",0.051103879305062,0,"COL1A2_SDC4","Col1a2  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"SMCs","Activated AT2 cells","Col1a2","Sdc4",0.0104091184332736,0,"COL1A2_SDC4","Col1a2  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"Activated mesothelial cells","AT2 cells","Col1a2","Sdc4",0.0423557144184069,0,"COL1A2_SDC4","Col1a2  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"Fibroblasts","AT2 cells","Col1a2","Sdc4",0.0644801295298895,0,"COL1A2_SDC4","Col1a2  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"Mesothelial cells","AT2 cells","Col1a2","Sdc4",0.0139750032342541,0,"COL1A2_SDC4","Col1a2  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"Myofibroblasts","AT2 cells","Col1a2","Sdc4",0.0701418949500114,0,"COL1A2_SDC4","Col1a2  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"SMCs","AT2 cells","Col1a2","Sdc4",0.0145188494818312,0,"COL1A2_SDC4","Col1a2  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"Activated mesothelial cells","Activated AT2 cells","Col4a1","Sdc4",0.0052737809793991,0,"COL4A1_SDC4","Col4a1  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"AT1 cells","Activated AT2 cells","Col4a1","Sdc4",0.0256722398854725,0,"COL4A1_SDC4","Col4a1  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"CECs","Activated AT2 cells","Col4a1","Sdc4",0.00954704167904587,0,"COL4A1_SDC4","Col4a1  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"Fibroblasts","Activated AT2 cells","Col4a1","Sdc4",0.00911154885589972,0,"COL4A1_SDC4","Col4a1  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"LECs","Activated AT2 cells","Col4a1","Sdc4",0.0088741584237088,0,"COL4A1_SDC4","Col4a1  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"Myofibroblasts","Activated AT2 cells","Col4a1","Sdc4",0.00621660681926496,0,"COL4A1_SDC4","Col4a1  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
"SMCs","Activated AT2 cells","Col4a1","Sdc4",0.00807446070018866,0,"COL4A1_SDC4","Col4a1  - Sdc4","COLLAGEN","ECM-Receptor","KEGG: mmu04512"
