"dataset","condition","subtype","n_cells","n_samples","pct_expressing","mean_expressers","pseudobulk_mean","pseudobulk_median"
"Adams_GSE136831","IPF","Fibroblast (PLIN2-)",748,31,3.20855614973262,1.41666666666667,0.0365273265428357,0
"Adams_GSE136831","Control","Fibroblast (PLIN2-)",371,24,1.88679245283019,2.28571428571429,0.080437091503268,0
"Adams_GSE136831","IPF","Myofibroblast",2886,31,5.12820512820513,1.44594594594595,0.137919209997814,0.0816326530612245
"Adams_GSE136831","Control","Myofibroblast",204,22,6.37254901960784,1.53846153846154,0.0574340432294978,0
"Adams_GSE136831","IPF","PLIN2+ Fibroblast (lipofibroblast)",695,30,2.30215827338129,1.6875,0.0281798301993814,0
"Adams_GSE136831","Control","PLIN2+ Fibroblast (lipofibroblast)",476,22,2.3109243697479,1.45454545454545,0.0174177181908643,0
"Habermann_GSE135893","IPF","Fibroblasts",152,11,8.55263157894737,1.30769230769231,0.431771482930533,0.0789473684210526
"Habermann_GSE135893","Control","Fibroblasts",140,9,0.714285714285714,1,0.00194931773879142,0
"Habermann_GSE135893","IPF","PLIN2+ Fibroblasts",1167,8,5.74121679520137,1.32835820895522,0.0179457831325301,0
"Habermann_GSE135893","Control","PLIN2+ Fibroblasts",6,3,0,NA,0,0
"Habermann_GSE135893","IPF","HAS1 High Fibroblasts",179,1,14.5251396648045,1.92307692307692,0.279329608938547,0.279329608938547
"Habermann_GSE135893","IPF","Myofibroblasts",813,12,10.5781057810578,1.19767441860465,0.0897532334011994,0.0925531914893617
"Habermann_GSE135893","Control","Myofibroblasts",196,9,4.59183673469388,1.11111111111111,0.0732174630548614,0.0333333333333333
"Strunz_mouse_GSE141259","PBS","Fibroblasts (Plin2-low)",58,7,0,NA,0,0
"Strunz_mouse_GSE141259","PBS","Fibroblasts (Plin2-high)",32,7,0,NA,0,0
"Strunz_mouse_GSE141259","d7","Fibroblasts (Plin2-low)",71,5,8.45070422535211,1,0.0732323232323232,0.0833333333333333
"Strunz_mouse_GSE141259","d7","Fibroblasts (Plin2-high)",13,5,0,NA,0,0
"Strunz_mouse_GSE141259","d7","Myofibroblasts",42,5,4.76190476190476,1,0.0383333333333333,0
"Strunz_mouse_GSE141259","d3","Fibroblasts (Plin2-low)",16,3,0,NA,0,0
"Strunz_mouse_GSE141259","d3","Fibroblasts (Plin2-high)",6,3,16.6666666666667,1,0.333333333333333,0
"Strunz_mouse_GSE141259","d10","Fibroblasts (Plin2-low)",72,3,5.55555555555556,1,0.0533333333333333,0.06
"Strunz_mouse_GSE141259","d10","Fibroblasts (Plin2-high)",22,3,4.54545454545455,1,0.0666666666666667,0
"Strunz_mouse_GSE141259","d10","Myofibroblasts",183,3,3.27868852459016,1.33333333333333,0.0386747802569304,0.0470588235294118
"Strunz_mouse_GSE141259","d14","Fibroblasts (Plin2-low)",33,4,3.03030303030303,1,0.0192307692307692,0
"Strunz_mouse_GSE141259","d14","Fibroblasts (Plin2-high)",10,3,10,2,0.133333333333333,0
"Strunz_mouse_GSE141259","d14","Myofibroblasts",161,4,3.72670807453416,1.16666666666667,0.0505024592944369,0.040625
"Strunz_mouse_GSE141259","d21","Fibroblasts (Plin2-low)",13,4,0,NA,0,0
"Strunz_mouse_GSE141259","d21","Fibroblasts (Plin2-high)",5,2,0,NA,0,0
"Strunz_mouse_GSE141259","d21","Myofibroblasts",121,4,3.30578512396694,1,0.0196078431372549,0
"Strunz_mouse_GSE141259","d28","Fibroblasts (Plin2-low)",3,1,0,NA,0,0
"Strunz_mouse_GSE141259","d28","Myofibroblasts",8,2,0,NA,0,0
