"dataset","gene","condition","subtype","n_cells","n_samples","pct_expressing","mean_expressers","pseudobulk_mean","pseudobulk_median"
"Mouse_epi_obj","Fgfr2","PBS_control","AT2",1739,2,12.9959746981024,1.18141592920354,0.157251563416064,0.157251563416064
"Mouse_epi_obj","Tgfbr2","PBS_control","AT2",1739,2,3.73778033352501,1.06153846153846,0.0391132228085032,0.0391132228085032
"Mouse_epi_obj","Tgfbr1","PBS_control","AT2",1739,2,2.35767682576193,1.02439024390244,0.0229009239354657,0.0229009239354657
"Mouse_epi_obj","Tgfb1","PBS_control","AT2",1739,2,0,NA,0,0
"Mouse_epi_obj","Fgfr1","PBS_control","AT2",1739,2,0.632547441058079,1,0.00658412589842138,0.00658412589842138
"Mouse_epi_obj","Fgfr2","acute","AT2",7447,17,13.3073720961461,1.17255297679112,0.15692547375152,0.145631067961165
"Mouse_epi_obj","Tgfbr2","acute","AT2",7447,17,7.19752920639184,1.06716417910448,0.0813121651231763,0.0725388601036269
"Mouse_epi_obj","Tgfbr1","acute","AT2",7447,17,3.10192023633678,1.04761904761905,0.0318783316691449,0.0297029702970297
"Mouse_epi_obj","Tgfb1","acute","AT2",7447,17,0.577413723647106,1,0.00811919004792882,0.00246305418719212
"Mouse_epi_obj","Fgfr1","acute","AT2",7447,17,0.590841949778434,1.02272727272727,0.00838776497022919,0.00606980273141123
"Mouse_epi_obj","Fgfr2","fibrotic_early","AT2",1366,6,11.2737920937042,1.14285714285714,0.132939745433209,0.118179505659897
"Mouse_epi_obj","Tgfbr2","fibrotic_early","AT2",1366,6,5.34407027818448,1.06849315068493,0.0594789327117457,0.0674020302841263
"Mouse_epi_obj","Tgfbr1","fibrotic_early","AT2",1366,6,2.26939970717423,1.16129032258065,0.027117026243546,0.0330396739781853
"Mouse_epi_obj","Tgfb1","fibrotic_early","AT2",1366,6,0.146412884333821,1,0.00161812297734628,0
"Mouse_epi_obj","Fgfr1","fibrotic_early","AT2",1366,6,1.09809663250366,1.06666666666667,0.0104446181934429,0.00835624561970996
"Mouse_epi_obj","Fgfr2","fibrotic_late","AT2",1422,3,10.6188466947961,1.05960264900662,0.114847377057157,0.0948148148148148
"Mouse_epi_obj","Tgfbr2","fibrotic_late","AT2",1422,3,4.21940928270042,1.01666666666667,0.0453283470155437,0.0502392344497608
"Mouse_epi_obj","Tgfbr1","fibrotic_late","AT2",1422,3,1.89873417721519,1.03703703703704,0.0216253650818787,0.0243161094224924
"Mouse_epi_obj","Tgfb1","fibrotic_late","AT2",1422,3,0,NA,0,0
"Mouse_epi_obj","Fgfr1","fibrotic_late","AT2",1422,3,0.421940928270042,1,0.00430527209922507,0.00444444444444444
"Mouse_epi_obj","Fgfr2","resolution","AT2",1976,4,11.2348178137652,1.07657657657658,0.172709942171648,0.123678960250886
"Mouse_epi_obj","Tgfbr2","resolution","AT2",1976,4,3.39068825910931,1.01492537313433,0.0261858670377887,0.0338102491567838
"Mouse_epi_obj","Tgfbr1","resolution","AT2",1976,4,1.87246963562753,1,0.013987150687864,0.0168356875143418
"Mouse_epi_obj","Tgfb1","resolution","AT2",1976,4,0.809716599190283,1,0.00715098416664542,0.00618131868131868
"Mouse_epi_obj","Fgfr1","resolution","AT2",1976,4,0.0506072874493927,1,0.000580046403712297,0
"Adams_GSE136831","FGFR2","IPF","ATII",496,30,42.1370967741936,2.36842105263158,1.32009460754213,1.05631276901004
"Adams_GSE136831","FGFR2","Control","ATII",2655,26,41.8832391713748,2.07464028776978,0.688647160880832,0.55
"Adams_GSE136831","FGFR1","IPF","ATII",496,30,22.7822580645161,1.72566371681416,0.498870256104785,0.416666666666667
"Adams_GSE136831","FGFR1","Control","ATII",2655,26,41.5442561205273,1.90480507706256,0.589030241866907,0.485852713178295
"Adams_GSE136831","TGFBR1","IPF","ATII",496,30,12.0967741935484,1.35,0.191365374824503,0.10840108401084
"Adams_GSE136831","TGFBR1","Control","ATII",2655,26,9.00188323917138,1.14644351464435,0.112630521617354,0.078030303030303
"Adams_GSE136831","TGFBR2","IPF","ATII",496,30,58.8709677419355,2.77397260273973,1.58909104814266,1.375
"Adams_GSE136831","TGFBR2","Control","ATII",2655,26,72.8813559322034,3.50801033591731,1.59693510310891,1.65863787375415
"Adams_GSE136831","CLDN4","IPF","ATII",496,30,55.6451612903226,3.77536231884058,2.33494196865261,1.11788617886179
"Adams_GSE136831","CLDN4","Control","ATII",2655,26,70.2448210922787,3.97372654155496,1.93921256501133,1.5661899897855
"Adams_GSE136831","KRT8","IPF","ATII",496,30,59.0725806451613,5.27303754266212,3.93446348426206,1.73899371069182
"Adams_GSE136831","KRT8","Control","ATII",2655,26,62.7118644067797,4.45645645645646,2.7060091331088,1.48333333333333
"Adams_GSE136831","SERPINE1","IPF","ATII",496,30,4.03225806451613,2.05,0.0972125586841927,0
"Adams_GSE136831","SERPINE1","Control","ATII",2655,26,1.20527306967985,1.25,0.018909663231562,0
