"p_value","median_a","median_b","log2fc","dataset","gene","subtype"
0.842056747302288,0.118110236220472,0.132779080624498,-0.167555133348645,"epi_obj_mouse","Fgfr2","AT2_acute"
0.617075077451974,0.0990058082842244,0.132779080624498,-0.419768742323856,"epi_obj_mouse","Fgfr2","AT2_fibrotic_early"
0.386476230771233,0.0918518518518519,0.132779080624498,-0.52684994682312,"epi_obj_mouse","Fgfr2","AT2_fibrotic_late"
0.816961321715391,0.114344195408552,0.132779080624498,-0.213907132183505,"epi_obj_mouse","Fgfr2","AT2_resolution"
0.096661904024897,0.0673575129533679,0.0369411330423642,0.849337145661135,"epi_obj_mouse","Tgfbr2","AT2_acute"
0.243345009148762,0.0630352180570521,0.0369411330423642,0.755102813243147,"epi_obj_mouse","Tgfbr2","AT2_fibrotic_early"
0.772829992684448,0.0478468899521531,0.0369411330423642,0.364503946883342,"epi_obj_mouse","Tgfbr2","AT2_fibrotic_late"
0.247159973211907,0.0331914372755957,0.0369411330423642,-0.150127693476793,"epi_obj_mouse","Tgfbr2","AT2_resolution"
0.0521548666906434,1.05631276901004,0.55,0.940277986825525,"Adams_GSE136831","FGFR2","ATII"
0.711130303099754,1.375,1.65863787375415,-0.270388015669652,"Adams_GSE136831","TGFBR2","ATII"
0.252569443168859,1.11788617886179,1.5661899897855,-0.486116805250462,"Adams_GSE136831","CLDN4","ATII"
0.798750378389621,1.73899371069182,1.48333333333333,0.229266980318875,"Adams_GSE136831","KRT8","ATII"
0.883876427298644,0,0,0,"Adams_GSE136831","SERPINE1","ATII"
