symbol,ensembl_id,regen_loss,n_expressing
Sdc1,ENSG00000115884,-0.000736912596039474,1947
App,ENSG00000142192,-0.00043865159386768937,2284
Sdc4,ENSG00000124145,-0.0003941725881304592,1918
Cd9,ENSG00000010278,-0.0003694010083563626,1920
Notch1,ENSG00000148400,-0.0002829085278790444,196
Erbb2,ENSG00000141736,-0.0002594406541902572,110
Egfr,ENSG00000146648,-0.00021640701743308455,92
Tgfbr1,ENSG00000106799,-0.000122515790280886,196
Notch2,ENSG00000134250,-0.0001174190838355571,222
Itgb1,ENSG00000150093,-8.30364806461148e-05,1740
Bmpr2,ENSG00000204217,-8.176097617251799e-05,234
Tgfbr2,ENSG00000163513,-7.597507647005841e-05,429
Erbb3,ENSG00000065361,-7.164498674683273e-05,302
Axl,ENSG00000167601,-6.008310447214171e-05,61
Bmpr1a,ENSG00000107779,-4.4692405936075374e-05,399
Fzd2,ENSG00000180340,-3.335604924359359e-05,69
Cd63,ENSG00000135404,-8.985034583020024e-06,3025
Fgfr2,ENSG00000066468,-8.147492849275295e-07,462
Fgfr1,ENSG00000077782,-7.20613613225396e-08,43
Pdgfra,ENSG00000134853,-1.4019031491230294e-09,1
Pdgfrb,ENSG00000113721,2.7069521735256785e-08,2
Acvrl1,ENSG00000139567,4.417062271500072e-08,15
Igf1r,ENSG00000140443,1.2807915936718928e-06,59
Osmr,ENSG00000145623,2.2490386982099153e-05,393
Nrp1,ENSG00000099250,4.794833512278274e-05,1346
Il6st,ENSG00000134352,4.9564714572625235e-05,489
Met,ENSG00000105976,5.059681643615477e-05,598
Fzd1,ENSG00000157240,8.27766561997123e-05,82
