symbol,ensembl_id,regen_gain,n_expressing
Fzd2,ENSG00000180340,0.007993740029633045,69
Bmpr2,ENSG00000204217,0.0006757472292520106,234
Erbb2,ENSG00000141736,-0.00035300187300890684,110
Egfr,ENSG00000146648,-0.0008520944393239915,92
Bmpr1a,ENSG00000107779,-0.0009366831509396434,399
Fgfr2,ENSG00000066468,-0.00258701853454113,462
Met,ENSG00000105976,-0.0028131050057709217,598
Fzd1,ENSG00000157240,-0.0035926387645304203,82
Notch2,ENSG00000134250,-0.0038140707183629274,222
Tgfbr2,ENSG00000163513,-0.004184016492217779,429
Pdgfra,ENSG00000134853,-0.004753453657031059,1
Erbb3,ENSG00000065361,-0.00506255030632019,302
Pdgfrb,ENSG00000113721,-0.00604621134698391,2
Igf1r,ENSG00000140443,-0.007695098407566547,59
Notch1,ENSG00000148400,-0.009673705324530602,196
Acvrl1,ENSG00000139567,-0.009931360371410847,15
Tgfbr1,ENSG00000106799,-0.010124615393579006,196
Fgfr1,ENSG00000077782,-0.010237333364784718,43
Axl,ENSG00000167601,-0.01783447340130806,61
