"test_ligand","auroc","aupr","aupr_corrected","pearson","rank"
"CSF1",0.585884880778689,0.154333476468258,0.0637117694081948,0.152738374564982,1
"ANGPTL4",0.5775531102252,0.154092150148824,0.0634704430887608,0.134623388605726,2
"TNF",0.597794775567399,0.153955214058157,0.0633335069980938,0.145698514445804,3
"IL1B",0.579576245599697,0.153886505711673,0.0632647986516099,0.14522441462213,4
"TGFB1",0.613497413301463,0.152073507794811,0.0614518007347475,0.143749678125037,5
"HBEGF",0.568504064969112,0.149368831524448,0.0587471244643846,0.0888843968028776,6
"VEGFA",0.565685699217034,0.1473133989029,0.0566916918428367,0.135240673121527,7
"OSM",0.570962762210169,0.14446632146247,0.0538446144024071,0.124716421487799,8
"TIMP1",0.581054653665072,0.142876499424607,0.0522547923645443,0.0739993231783013,9
"LPL",0.566991972352821,0.1417227882551,0.051101081195037,0.0812419735292173,10
"AREG",0.558955938407592,0.140576802620451,0.0499550955603879,0.0847138623824919,11
"RARRES1",0.568580370788537,0.139659278443788,0.0490375713837245,0.0675420558256237,12
"CDCP1",0.562924115993644,0.138654571140036,0.0480328640799724,0.090076358251905,13
"IL1RN",0.570803276173171,0.138299047890313,0.0476773408302501,0.0880097746264282,14
"SERPING1",0.580515150898539,0.1380405305401,0.0474188234800371,0.0958299015230614,15
"FGF7",0.570802176269467,0.137736770221863,0.0471150631617997,0.0766687937217237,16
"CD55",0.572230538716336,0.137362542440718,0.0467408353806547,0.0938568185105125,17
"SCGB1A1",0.566507327283497,0.136901900525831,0.046280193465768,0.0950768120460747,18
"ANG",0.587654488349545,0.136604470137537,0.0459827630774734,0.0800849852565368,19
"SERPINF1",0.565398899326364,0.13622669252642,0.0456049854663563,0.0713795693443081,20
"SIGLEC7",0.563524113463866,0.13424272944069,0.0436210223806269,0.086214791802893,21
"SIGLEC9",0.567170569216664,0.134201933603695,0.0435802265436319,0.0870980584126855,22
"LGALS3",0.553559673350599,0.133983969637683,0.0433622625776196,0.0804743699411207,23
"ADAM17",0.554384876104097,0.133856607694501,0.0432349006344374,0.0703796357513654,24
"ICAM1",0.552686074834148,0.133387836171552,0.042766129111489,0.0823275257703743,25
"TSPAN3",0.57265785130512,0.133379775297798,0.0427580682377348,0.0863847901505048,26
"JAML",0.553693586626491,0.132687018835715,0.0420653117756513,0.0770216797524258,27
"NAMPT",0.560887919262669,0.132523037217336,0.0419013301572724,0.0723235429024635,28
"IFITM1",0.573487866137321,0.132396204806299,0.041774497746236,0.0883700409870069,29
"MMP14",0.561634891365261,0.132363799954596,0.0417420928945328,0.0808820397844422,30
"MFAP2",0.562500653067823,0.131933850184423,0.0413121431243601,0.0775183051855486,31
"SFTPA1",0.563608668561069,0.131926773010136,0.0413050659500724,0.061096017193732,32
"SEMA3C",0.563953488372094,0.131823274941585,0.0412015678815218,0.0819610144886887,33
"SPINT1",0.558098425982806,0.131758405934482,0.0411366988744185,0.0771300294206503,34
"EREG",0.551493229267778,0.131756214013072,0.0411345069530088,0.0710460408857527,35
"LGALS9",0.561370364524587,0.131715570296769,0.0410938632367061,0.0783337722201368,36
"TFPI",0.543993948329823,0.131478536836252,0.0408568297761891,0.0770974890697899,37
"POMZP3",0.559607356375949,0.131471891239961,0.0408501841798974,0.0776006364480735,38
"UXS1",0.565228276764369,0.131310888862998,0.0406891818029351,0.085453333431259,39
