"ligand","receptor"
"ANGPTL4","SDC1"
"ANGPTL4","SDC2"
"ANGPTL4","SDC4"
"ANGPTL4","LPL"
"ANGPTL4","ITGB1"
"ANGPTL4","ITGAV"
"AREG","EGFR"
"AREG","ERBB2"
"AREG","ERBB3"
"BMP2","BMPR2"
"BMP2","BMPR1A"
"CD55","ADGRE5"
"CDCP1","EGFR"
"CSF1","CSF3R"
"CX3CL1","ITGAV"
"CX3CL1","ITGB1"
"FGF7","FGFR2"
"FGF7","FGFR1"
"FGF7","FGFR3"
"HBEGF","EGFR"
"HBEGF","ERBB4"
"HBEGF","CD44"
"HBEGF","CD9"
"HBEGF","ERBB2"
"HBEGF","CD82"
"HP","APOA1"
"IGF2","IGF2R"
"IGF2","INSR"
"IGF2","ITGAV"
"IGF2","ITGA6"
"IL1A","IL1R1"
"IL1B","IL1R1"
"IL1B","ADRB2"
"IL1RN","IL1R1"
"LPL","SDC1"
"LPL","LRP2"
"OSM","OSMR"
"OSM","IL6ST"
"OSM","LIFR"
"PCSK9","LDLR"
"PCSK9","SORT1"
"PCSK9","APLP2"
"PCSK9","CD36"
"PCSK9","CD81"
"RARRES1","NRP2"
"SERPING1","C1R"
"TGFB1","APP"
"TGFB1","TGFBR2"
"TGFB1","ITGB6"
"TGFB1","ITGAV"
"TGFB1","ITGB1"
"TGFB1","SDC2"
"TIMP1","FGFR2"
"TIMP1","CD63"
"TNF","LTBR"
"TNF","TNFRSF1A"
"TNF","TNFRSF21"
"VEGFA","NRP2"
"VEGFC","NRP2"
"WNT5A","FZD5"
"WNT5A","FZD6"
"WNT5A","LRP6"
"WNT5A","RYK"
"WNT5A","LRP5"
